wafer_layout,component_sk,ucs_die_x,ucs_die_y,ucs_flash_x,ucs_flash_y,ucs_die_in_flash_x,ucs_die_in_flash_y,ucs_die_origin_x,ucs_die_origin_y,ucs_flash_wafer_layout_sk,ucs_die_wafer_layout_sk,metrology17_site,sort_die_x,sort_die_y,sort_test_flag,wet_flash_x,wet_flash_y
product,90001838,-15,-15,-5,-3,0,0,-116450.84,-117950.55,90172473,96393813,,4,39,P,3,2
product,90001838,-15,-14,-5,-3,0,1,-116450.84,-111391.09,90172473,96393814,,4,38,P,3,2
product,90001838,-15,-13,-5,-3,0,2,-116450.84,-104831.63,90172473,96393815,,4,37,P,3,2
product,90001838,-15,-12,-5,-3,0,3,-116450.84,-98272.17,90172473,96393816,,4,36,P,3,2
product,90001838,-15,-11,-5,-3,0,4,-116450.84,-91712.71,90172473,96393817,,4,35,P,3,2
product,90001838,-15,-10,-5,-2,0,0,-116450.84,-85153.25,90172474,96393828,,4,34,T,3,3
product,90001838,-15,-9,-5,-2,0,1,-116450.84,-78593.79,90172474,96393829,,4,33,T,3,3
product,90001838,-15,-8,-5,-2,0,2,-116450.84,-72034.33,90172474,96393830,,4,32,T,3,3
product,90001838,-15,-7,-5,-2,0,3,-116450.84,-65474.87,90172474,96393831,,4,31,T,3,3
product,90001838,-15,-6,-5,-2,0,4,-116450.84,-58915.41,90172474,96393832,,4,30,T,3,3
product,90001838,-15,-5,-5,-1,0,0,-116450.84,-52355.95,90172475,96393843,,4,29,T,3,4
product,90001838,-15,-4,-5,-1,0,1,-116450.84,-45796.49,90172475,96393844,,4,28,T,3,4
product,90001838,-15,-3,-5,-1,0,2,-116450.84,-39237.03,90172475,96393845,,4,27,T,3,4
product,90001838,-15,-2,-5,-1,0,3,-116450.84,-32677.57,90172475,96393846,,4,26,T,3,4
product,90001838,-15,-1,-5,-1,0,4,-116450.84,-26118.11,90172475,96393847,,4,25,T,3,4
product,90001838,-15,0,-5,0,0,0,-116450.84,-19558.65,90172476,96393858,,4,24,T,3,5
product,90001838,-15,1,-5,0,0,1,-116450.84,-12999.19,90172476,96393859,,4,23,T,3,5
product,90001838,-15,2,-5,0,0,2,-116450.84,-6439.73,90172476,96393860,,4,22,T,3,5
product,90001838,-15,3,-5,0,0,3,-116450.84,119.73,90172476,96393861,,4,21,T,3,5
product,90001838,-15,4,-5,0,0,4,-116450.84,6679.19,90172476,96393862,,4,20,T,3,5
product,90001838,-15,5,-5,1,0,0,-116450.84,13238.65,90172477,96393873,,4,19,T,3,6
product,90001838,-15,6,-5,1,0,1,-116450.84,19798.11,90172477,96393874,,4,18,T,3,6
product,90001838,-15,7,-5,1,0,2,-116450.84,26357.57,90172477,96393875,,4,17,T,3,6
product,90001838,-15,8,-5,1,0,3,-116450.84,32917.03,90172477,96393876,,4,16,T,3,6
product,90001838,-15,9,-5,1,0,4,-116450.84,39476.49,90172477,96393877,,4,15,T,3,6
product,90001838,-15,10,-5,2,0,0,-116450.84,46035.95,90172478,96393888,,4,14,T,3,7
product,90001838,-15,11,-5,2,0,1,-116450.84,52595.41,90172478,96393889,,4,13,T,3,7
product,90001838,-15,12,-5,2,0,2,-116450.84,59154.87,90172478,96393890,,4,12,T,3,7
product,90001838,-15,13,-5,2,0,3,-116450.84,65714.33,90172478,96393891,,4,11,T,3,7
product,90001838,-15,14,-5,2,0,4,-116450.84,72273.79,90172478,96393892,,4,10,T,3,7
product,90001838,-15,15,-5,3,0,0,-116450.84,78833.25,90172479,96393903,,4,9,T,3,8
product,90001838,-15,16,-5,3,0,1,-116450.84,85392.71,90172479,96393904,,4,8,P,3,8
product,90001838,-15,17,-5,3,0,2,-116450.84,91952.17,90172479,96393905,,4,7,P,3,8
product,90001838,-15,18,-5,3,0,3,-116450.84,98511.63,90172479,96393906,,4,6,P,3,8
product,90001838,-15,19,-5,3,0,4,-116450.84,105071.09,90172479,96393907,,4,5,P,3,8
product,90001838,-15,20,-5,4,0,0,-116450.84,111630.55,90172480,96393918,,4,4,P,3,9
product,90001838,-15,21,-5,4,0,1,-116450.84,118190.01,90172480,96393919,,4,3,P,3,9
product,90001838,-15,22,-5,4,0,2,-116450.84,124749.47,90172480,96393920,,4,2,P,3,9
product,90001838,-15,23,-5,4,0,3,-116450.84,131308.93,90172480,96393921,,4,1,P,3,9
product,90001838,-15,24,-5,4,0,4,-116450.84,137868.39,90172480,96393922,,4,0,P,3,9
product,90001838,-14,-15,-5,-3,1,0,-109179.88,-117950.55,90172473,96393818,,5,39,P,3,2
product,90001838,-14,-14,-5,-3,1,1,-109179.88,-111391.09,90172473,96393819,,5,38,P,3,2
product,90001838,-14,-13,-5,-3,1,2,-109179.88,-104831.63,90172473,96393820,,5,37,P,3,2
product,90001838,-14,-12,-5,-3,1,3,-109179.88,-98272.17,90172473,96393821,,5,36,T,3,2
product,90001838,-14,-11,-5,-3,1,4,-109179.88,-91712.71,90172473,96393822,,5,35,T,3,2
product,90001838,-14,-10,-5,-2,1,0,-109179.88,-85153.25,90172474,96393833,,5,34,T,3,3
product,90001838,-14,-9,-5,-2,1,1,-109179.88,-78593.79,90172474,96393834,,5,33,T,3,3
product,90001838,-14,-8,-5,-2,1,2,-109179.88,-72034.33,90172474,96393835,,5,32,T,3,3
product,90001838,-14,-7,-5,-2,1,3,-109179.88,-65474.87,90172474,96393836,,5,31,T,3,3
product,90001838,-14,-6,-5,-2,1,4,-109179.88,-58915.41,90172474,96393837,,5,30,T,3,3
product,90001838,-14,-5,-5,-1,1,0,-109179.88,-52355.95,90172475,96393848,,5,29,T,3,4
product,90001838,-14,-4,-5,-1,1,1,-109179.88,-45796.49,90172475,96393849,,5,28,T,3,4
